libid	batch	phylum	countgroup	taxon	taxid	sample_number	Reads avg. seq:	Reads max seq:	Reads median seq:	Reads min seq:	Reads N 50:	Reads total n:	Reads total seq:	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	bag	perc_reads_human	busco_lineage	Busco % C	Busco % S	Busco % D	Busco % F	Busco % M	Busco set size	mode_cov_dist	mapped_bases	genome_size_est	co1_Order	co1_Genus	co1_Species
P2_150	b1	Chordata	Aves	Gallus gallus	9031	PC_05	138.98	150	150	50	150	12099360	1681608311	210028	16244	149928919	41.7	696	582	81220	140361	bag3	0.95	aves_odb10	0.5	0.5	0	2.8	96.7	8338	2	1231967226	615983613	Galliformes	Gallus	Gallus gallus
P2_190	b1	Chordata	Aves	Gallus gallus	9031	PC_07	133.24	150	150	50	150	21356	2845419	4	831	2506	50.24	647	528	2	3	bag1	13.43	aves_odb10	0	0	0	0	100	8338	1	234321	234321			
P2_190	b1	Chordata	Aves	Gallus gallus	9031	PC_07	133.24	150	150	50	150	21356	2845419	4	831	2506	50.24	647	528	2	3	bag2	13.43	aves_odb10	0	0	0	0	100	8338	1	403073	403073			
P2_190	b1	Chordata	Aves	Gallus gallus	9031	PC_07	133.24	150	150	50	150	21356	2845419	4	831	2506	50.24	647	528	2	3	bag3	13.43	aves_odb10	0	0	0	0	100	8338	1	408025	408025			
P2_191	b1	Arthropoda	Acari	Acrotritia duplicata	1979925	ori_SMG_180918_4	126.83	150	150	50	150	1807809	229288350	574	19984	930748	39.33	2179	1057	91	246	bag1	1.34	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	2	29706350	14853175	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P2_191	b1	Arthropoda	Acari	Acrotritia duplicata	1979925	ori_SMG_180918_4	126.83	150	150	50	150	1807809	229288350	4347	19984	4208522	36.84	954	656	1138	2486	bag2	1.34	arachnida_odb10	0	0	0	0.1	99.9	2934	1	157973293	157973293	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P2_191	b1	Arthropoda	Acari	Acrotritia duplicata	1979925	ori_SMG_180918_4	126.83	150	150	50	150	1807809	229288350	4410	19984	4298032	36.86	961	657	1144	2513	bag3	1.34	arachnida_odb10	0	0	0	0.1	99.9	2934	1	159098439	159098439	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P2_192	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	136.18	150	150	50	150	76508	10418933	9	2239	10946	44.61	1692	1130	3	5	bag1	7.32								1	102428	102428	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_192	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	136.18	150	150	50	150	76508	10418933	127	6878	102405	40.34	787	604	42	80	bag2	7.32	metazoa_odb10	0	0	0	0	100	954	1	3290613	3290613	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_192	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	136.18	150	150	50	150	76508	10418933	154	6878	125692	41.13	803	607	51	97	bag3	7.32	metazoa_odb10	0	0	0	0	100	954	1	3456693	3456693	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_194	b1	Arthropoda	Acari	Zygoribatula exilis	1251916	ori_SMG_180918_3	124.74	150	149	50	150	1856915	231628469	2843	16137	2262476	44.63	761	614	987	1821	bag1	0.55	arachnida_odb10	6	5.9	0.1	5.4	88.6	2934	2	20156049	10078024.5	Sarcoptiformes	Oribatulidae-undef	Oribatula tibialis
P2_194	b1	Arthropoda	Acari	Zygoribatula exilis	1251916	ori_SMG_180918_3	124.74	150	149	50	150	1856915	231628469	14371	16137	10238510	41.29	677	571	5431	9566	bag2	0.55	arachnida_odb10	7.9	7.8	0.1	7.3	84.8	2934	2	144827347	72413673.5	Sarcoptiformes	Oribatulidae-undef	Oribatula tibialis
P2_194	b1	Arthropoda	Acari	Zygoribatula exilis	1251916	ori_SMG_180918_3	124.74	150	149	50	150	1856915	231628469	14516	16137	10348224	41.32	677	571	5486	9662	bag3	0.55	arachnida_odb10	8	7.9	0.1	7.3	84.7	2934	2	145542716	72771358	Sarcoptiformes	Oribatulidae-undef	Oribatula tibialis
P2_199	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	141.41	150	150	50	150	262934	37182770	30	3013	39931	46.08	1889	980	9	17	bag1	17.17	metazoa_odb10	0	0	0	0	100	954	2	468373	234186.5	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_199	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	141.41	150	150	50	150	262934	37182770	640	7685	574142	41.11	871	631	186	383	bag2	17.17	metazoa_odb10	0	0	0	0.1	99.9	954	1	12811346	12811346	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_199	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	141.41	150	150	50	150	262934	37182770	743	7685	691810	41.9	935	648	212	437	bag3	17.17	metazoa_odb10	0	0	0	0.1	99.9	954	1	13702828	13702828	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_201	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	141.75	150	150	51	150	795	112691										4.2													
P2_203	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	141.57	150	150	50	150	8933	1264614	6	1266	4155	38.17	557	541	3	4	bag2	6.62								1	338647	338647			
P2_203	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	141.57	150	150	50	150	8933	1264614	7	1266	5089	40.2	769	541	3	5	bag3	6.62								1	345790	345790			
P2_208	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	140.89	150	150	50	150	36985	5210990	2	822	1452	49.72	822	630	1	2	bag1	4.61								2	12326	6163			
P2_208	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	140.89	150	150	50	150	36985	5210990	71	4308	52778	40.66	690	571	25	47	bag2	4.61								1	1707682	1707682			
P2_208	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	140.89	150	150	50	150	36985	5210990	83	4308	60999	41.32	690	571	30	55	bag3	4.61								1	1765854	1765854			
P2_209	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	141.67	150	150	50	150	6226	882008	3	686	1820	38.74	581	553	2	3	bag2	16.87								1	195001	195001			
P2_209	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	141.67	150	150	50	150	6226	882008	3	686	1820	38.74	581	553	2	3	bag3	16.87								1	196748	196748			
P2_211	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	140.88	150	150	50	150	9987	1407011	7	1990	5352	39.52	591	539	3	5	bag2	5.88								1	278291	278291			
P2_211	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	140.88	150	150	50	150	9987	1407011	7	1990	5352	39.52	591	539	3	5	bag3	5.88								1	280022	280022			
P2_213	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	134.27	150	150	50	150	13501262	1812765109	705	15120	752796	45.58	1087	731	177	390	bag1	7.01	metazoa_odb10	0.1	0.1	0	0.4	99.5	954	2	73177378	36588689	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_213	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	134.27	150	150	50	150	13501262	1812765109	65827	15120	50710617	40.1	727	587	22785	42317	bag2	7.01	metazoa_odb10	0.2	0.2	0	1.2	98.6	954	2	1254556100	627278050	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_213	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	134.27	150	150	50	150	13501262	1812765109	66570	15120	52190720	40.21	738	590	22484	42424	bag3	7.01	metazoa_odb10	0.2	0.2	0	1.2	98.6	954	2	1278120687	639060343.5	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_214	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	139.33	150	150	50	150	9621012	1340475632	688	15179	752650	45.91	1150	722	160	371	bag1	4.75	metazoa_odb10	0.1	0.1	0	0	99.9	954	2	56163499	28081749.5	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_214	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	139.33	150	150	50	150	9621012	1340475632	50855	15179	39165629	40.43	719	581	17304	32590	bag2	4.75	metazoa_odb10	0.3	0.3	0	0.5	99.2	954	2	925992367	462996183.5	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_214	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	139.33	150	150	50	150	9621012	1340475632	51637	15179	40693469	40.59	731	584	16991	32708	bag3	4.75	metazoa_odb10	0.4	0.4	0	0.8	98.8	954	2	948840565	474420282.5	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_215	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	137.12	150	150	50	150	9754881	1337574519	554	15741	617625	45.27	1215	724	130	296	bag1	7.16	metazoa_odb10	0	0	0	0.4	99.6	954	2	69650035	34825017.5	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_215	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	137.12	150	150	50	150	9754881	1337574519	44560	15741	34254144	40.39	714	580	15156	28574	bag2	7.16	metazoa_odb10	0.1	0.1	0	1.3	98.6	954	1	888665929	888665929	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_215	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	137.12	150	150	50	150	9754881	1337574519	45219	15741	35635418	40.53	728	584	14833	28635	bag3	7.16	metazoa_odb10	0.1	0.1	0	1.4	98.5	954	1	909506243	909506243	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P2_216	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_1	131.67	150	150	50	150	1701	223975										2.68													
P2_217	b1	Nematoda	Nematoda	Cuticularia oxycerca	55803	nem_SMG_180918_30	141.01	150	150	50	150	4947441	697617662	922	15614	1125993	50.52	1357	750	164	459	bag1	0.88	nematoda_odb10	0.3	0.3	0	0.5	99.2	3131	2	18143939	9071969.5	Strongylida	Oswaldocruzia	Necator americanus
P2_217	b1	Nematoda	Nematoda	Cuticularia oxycerca	55803	nem_SMG_180918_30	141.01	150	150	50	150	4947441	697617662	16671	21669	12527305	48.7	696	573	5797	10800	bag2	0.88	nematoda_odb10	1	1	0	1.2	97.8	3131	1	188410320	188410320	Strongylida	Oswaldocruzia	Necator americanus
P2_217	b1	Nematoda	Nematoda	Cuticularia oxycerca	55803	nem_SMG_180918_30	141.01	150	150	50	150	4947441	697617662	47257	257241	48212441	55.22	993	654	10583	25945	bag3	0.88	nematoda_odb10	3.4	2.4	1	1.4	95.2	3131	2	523916843	261958421.5	Strongylida	Oswaldocruzia	Necator americanus
P2_219	b1	Nematoda	Nematoda	Oscheius dolichura	473156	nem_SMG_180918_25	125.78	150	149	50	150	3008459	378400761	5858	10953	6732394	48.56	1249	873	1767	3386	bag1	0.21	nematoda_odb10	8.1	7.8	0.3	4.5	87.4	3131	4	51865490	12966372.5	Rhabditida	Uncinaria	Uncinaria sanguinis
P2_219	b1	Nematoda	Nematoda	Oscheius dolichura	473156	nem_SMG_180918_25	125.78	150	149	50	150	3008459	378400761	36680	10953	32995671	46.52	922	678	11968	22470	bag2	0.21	nematoda_odb10	11.1	10.7	0.4	6.2	82.7	3131	2	265323021	132661510.5	Rhabditida	Uncinaria	Uncinaria sanguinis
P2_219	b1	Nematoda	Nematoda	Oscheius dolichura	473156	nem_SMG_180918_25	125.78	150	149	50	150	3008459	378400761	41726	10953	36811320	47.33	897	664	13664	25672	bag3	0.21	nematoda_odb10	11.6	11.2	0.4	6.1	82.3	3131	2	307372541	153686270.5	Rhabditida	Uncinaria	Uncinaria sanguinis
P2_221	b1	Chordata	Aves	Gallus gallus	9031	PC_08	136.62	150	150	50	150	9658210	1319522856	69184	16521	48359893	41.86	673	572	26935	46516	bag1	1.48	aves_odb10	0.2	0.2	0	1.3	98.5	8338	2	536114956	268057478	Galliformes	Gallus	Gallus gallus
P2_221	b1	Chordata	Aves	Gallus gallus	9031	PC_08	136.62	150	150	50	150	9658210	1319522856	109381	16521	73837963	41.34	648	561	43702	74432	bag2	1.48	aves_odb10	0.2	0.2	0	1.3	98.5	8338	1	861296595	861296595	Galliformes	Gallus	Gallus gallus
P2_221	b1	Chordata	Aves	Gallus gallus	9031	PC_08	136.62	150	150	50	150	9658210	1319522856	109531	16521	73941472	41.34	648	561	43761	74533	bag3	1.48	aves_odb10	0.2	0.2	0	1.3	98.5	8338	1	862229279	862229279	Galliformes	Gallus	Gallus gallus
P2_82	b1	Arthropoda	Collembola	Folsomia candida	158441	col_ECT_180815_4	117.77	150	137	50	150	56453	6648219	19	1332	14782	48.08	797	582	7	13	bag2	1.15								1	1094712	1094712			
P2_82	b1	Arthropoda	Collembola	Folsomia candida	158441	col_ECT_180815_4	117.77	150	137	50	150	56453	6648219	19	1332	14782	48.08	797	582	7	13	bag3	1.15								1	1095045	1095045			
P3_107	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	133.85	150	150	50	150	7303	977501	4	890	2738	42.33	767	563	2	3	bag2	5.18								1	227806	227806			
P3_107	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	133.85	150	150	50	150	7303	977501	7	1198	5497	40.51	875	686	3	5	bag3	5.18								1	245731	245731			
P3_110	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	134.31	150	150	52	150	682	91602										5.79													
P3_135	b1	Annelida	Enchytraeidae	Enchytraeus crypticus	913645	enc_ECT_180815_10	125.56	150	149	50	150	6477304	813286482	573	15234	476000	42.46	778	628	189	360	bag1	2.4	metazoa_odb10	0.1	0.1	0	0.5	99.4	954	2	73858022	36929011	Enchytraeida	Enchytraeus	Enchytraeus moebii
P3_135	b1	Annelida	Enchytraeidae	Enchytraeus crypticus	913645	enc_ECT_180815_10	125.56	150	149	50	150	6477304	813286482	27989	15234	18680809	37.46	628	550	11082	19061	bag2	2.4	metazoa_odb10	0.2	0.2	0	0.7	99.1	954	2	502153162	251076581	Enchytraeida	Enchytraeus	Enchytraeus moebii
P3_135	b1	Annelida	Enchytraeidae	Enchytraeus crypticus	913645	enc_ECT_180815_10	125.56	150	149	50	150	6477304	813286482	28854	15234	19421068	38.16	630	551	11299	19577	bag3	2.4	metazoa_odb10	0.3	0.3	0	1.6	98.1	954	2	515632699	257816349.5	Enchytraeida	Enchytraeus	Enchytraeus moebii
P3_136	b1	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144	enc_ECT_180815_11	126.53	150	150	50	150	6752415	854380537	309	15298	262501	41.51	785	617	95	191	bag1	1.67	metazoa_odb10	0	0	0	0.1	99.9	954	2	40422921	20211460.5	Enchytraeida	Enchytraeus	Enchytraeus albellus
P3_136	b1	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144	enc_ECT_180815_11	126.53	150	150	50	150	6752415	854380537	15947	15298	12113188	36.13	686	568	5345	10234	bag2	1.67	metazoa_odb10	0.1	0.1	0	0.1	99.8	954	2	485399145	242699572.5	Enchytraeida	Enchytraeus	Enchytraeus albellus
P3_136	b1	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144	enc_ECT_180815_11	126.53	150	150	50	150	6752415	854380537	16147	15298	12559250	36.23	697	571	5217	10237	bag3	1.67	metazoa_odb10	0.1	0.1	0	0.1	99.8	954	2	494656954	247328477	Enchytraeida	Enchytraeus	Enchytraeus albellus
P3_141	b1	Arthropoda	Acari	Tyrophagus putrescentiae	59818	mit_ECT_180815_12	126.89	150	150	50	150	6435716	816658371	11566	25890	31328071	49.24	3643	2188	2675	5446	bag1	0.94	arachnida_odb10	72.8	71.5	1.3	6.2	21	2934	8	365669407	45708675.88	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae
P3_141	b1	Arthropoda	Acari	Tyrophagus putrescentiae	59818	mit_ECT_180815_12	126.89	150	150	50	150	6435716	816658371	41125	25890	76381167	46.3	2502	1401	8955	19177	bag2	0.94	arachnida_odb10	77.7	76.3	1.4	6.7	15.6	2934	6	777627926	129604654.3	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae
P3_141	b1	Arthropoda	Acari	Tyrophagus putrescentiae	59818	mit_ECT_180815_12	126.89	150	150	50	150	6435716	816658371	41903	25890	77429132	46.25	2494	1392	9097	19514	bag3	0.94	arachnida_odb10	78.6	77	1.6	6.7	14.7	2934	6	786157296	131026216	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae
P3_143	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_6	125.27	150	142	50	150	6623920	829756486	1771	11514	2582983	50.94	2562	886	281	730	bag1	0.4	arachnida_odb10	1.1	1.1	0	0.8	98.1	2934	2	124787429	62393714.5	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P3_143	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_6	125.27	150	142	50	150	6623920	829756486	16009	22421	12007367	48.45	647	552	5203	10273	bag2	0.4	arachnida_odb10	1.1	1.1	0	1	97.9	2934	2	455922906	227961453	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P3_143	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_6	125.27	150	142	50	150	6623920	829756486	18481	22421	13796170	50.24	650	553	6097	11899	bag3	0.4	arachnida_odb10	2.5	2.5	0	2.6	94.9	2934	2	479259677	239629838.5	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P3_146	b1	Arthropoda	Acari	Tyrophagus putrescentiae	59818	mit_ECT_180815_12	129.08	150	150	50	150	10061158	1298675759	6070	100676	50688733	47.78	13470	7445	1098	2357	bag1	0.79	arachnida_odb10	88.6	86.3	2.3	2	9.4	2934	13	840978577	64690659.77	Galliformes	Gallus	Gallus gallus
P3_146	b1	Arthropoda	Acari	Tyrophagus putrescentiae	59818	mit_ECT_180815_12	129.08	150	150	50	150	10061158	1298675759	18376	100676	82696430	45.8	8884	3979	2441	5943	bag2	0.79	arachnida_odb10	91.3	88.9	2.4	2	6.7	2934	11	1227972733	111633884.8	Galliformes	Gallus	Gallus gallus
P3_146	b1	Arthropoda	Acari	Tyrophagus putrescentiae	59818	mit_ECT_180815_12	129.08	150	150	50	150	10061158	1298675759	19077	100676	84574252	45.66	8777	3892	2524	6166	bag3	0.79	arachnida_odb10	92.2	89.7	2.5	1.9	5.9	2934	11	1247379206	113398109.6	Galliformes	Gallus	Gallus gallus
P3_152	b1	Arthropoda	Acari	Acrotritia duplicata	1979925	ori_SMG_180821_6	131.79	150	150	50	150	257	33871										4.07													
P3_156	b1	Arthropoda	Acari	Hypochthonius rufulus	66581	ori_SMG_180821_16	113.83	150	119	50	140	3418408	389125177	3619	10600	3173233	37.88	862	651	1152	2223	bag1	1.08	arachnida_odb10	6.1	6	0.1	4.8	89.1	2934	4	63790175	15947543.75	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus
P3_156	b1	Arthropoda	Acari	Hypochthonius rufulus	66581	ori_SMG_180821_16	113.83	150	119	50	140	3418408	389125177	17824	10600	13049722	32.45	694	575	6521	11715	bag2	1.08	arachnida_odb10	8.1	7.9	0.2	7.4	84.5	2934	2	285012238	142506119	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus
P3_156	b1	Arthropoda	Acari	Hypochthonius rufulus	66581	ori_SMG_180821_16	113.83	150	119	50	140	3418408	389125177	18035	10600	13254781	32.51	697	576	6571	11834	bag3	1.08	arachnida_odb10	8.2	8	0.2	7.4	84.4	2934	2	287954870	143977435	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus
P3_158	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_6	104.82	150	102	50	121	3402689	356679283	632	5166	745932	51.34	1374	837	167	346	bag1	0.55	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	30024237	15012118.5	Mesostigmata	Cosmolaelaps	Cosmolaelaps trifidus
P3_158	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_6	104.82	150	102	50	121	3402689	356679283	2248	5166	1929245	49.35	832	611	680	1367	bag2	0.55	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	122763935	61381967.5	Mesostigmata	Cosmolaelaps	Cosmolaelaps trifidus
P3_158	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_6	104.82	150	102	50	121	3402689	356679283	2296	5166	1992925	49.31	842	613	684	1387	bag3	0.55	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	2	124807918	62403959	Mesostigmata	Cosmolaelaps	Cosmolaelaps trifidus
P3_168	b1	Nematoda	Nematoda	Acrobeloides nanus	290746	nem_SMG_180821_22	134.24	150	150	51	150	113	15169										0													
P3_173	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	135.08	150	150	50	150	52433	7082641	2	727	1280	60.08	727	553	1	2	bag1	49.83								1	16494	16494			
P3_173	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	135.08	150	150	50	150	52433	7082641	45	1593	30666	41.57	673	561	19	31	bag2	49.83								1	1015562	1015562			
P3_173	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	135.08	150	150	50	150	52433	7082641	57	2298	45028	41.49	734	584	20	37	bag3	49.83								1	1131544	1131544			
P3_178	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_8	99.23	150	93	50	112	4878020	484045653	723	6329	861845	51.01	1336	840	192	396	bag1	0.41	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	36934299	18467149.5	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P3_178	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_8	99.23	150	93	50	112	4878020	484045653	2677	6329	2315468	49.21	852	610	801	1616	bag2	0.41	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	172440979	86220489.5	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P3_178	b1	Arthropoda	Acari	Hypoaspis aculeifer	704012	mit_ECT_180815_8	99.23	150	93	50	112	4878020	484045653	2750	6329	2393287	49.28	860	611	814	1654	bag3	0.41	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	2	175460373	87730186.5	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P3_183	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	124.55	150	149	50	150	994	123807										5.01													
P3_185	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	127.36	150	150	50	150	91735	11683274	1	569	569	63.97	569	569	1	1	bag1	52.58								1	13557	13557	Enchytraeida	Enchytraeus	Enchytraeus albidus
P3_185	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	127.36	150	150	50	150	91735	11683274	43	2319	32246	41.51	675	579	16	29	bag2	52.58								1	1511387	1511387	Enchytraeida	Enchytraeus	Enchytraeus albidus
P3_185	b1	Annelida	Enchytraeidae	Enchytraeus albidus	6390	enc_ECT_180815_9	127.36	150	150	50	150	91735	11683274	53	3663	46440	41.6	915	599	16	33	bag3	52.58								1	1701096	1701096	Enchytraeida	Enchytraeus	Enchytraeus albidus
P3_195	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	137.05	150	150	50	150	56564	7752330	2	1479	2192	39.64	1479	713	1	2	bag1	32.35								1	27340	27340	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P3_195	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	137.05	150	150	50	150	56564	7752330	62	3571	44701	39.5	646	573	23	42	bag2	32.35								1	1279186	1279186	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P3_195	b1	Annelida	Lumbricina	Aporrectodea caliginosa	302032	ear_ECT_180918_3	137.05	150	150	50	150	56564	7752330	75	3571	53218	40.5	646	567	29	51	bag3	32.35								1	1340338	1340338	Haplotaxida	Aporrectodea	Aporrectodea caliginosa
P3_210	b1	Nematoda	Nematoda	Cuticularia oxycerca		nem_SMG_180918_31	142.45	150	150	50	150	2386192	339906071	21	2613	16447	38.63	698	591	8	14	bag1	89.07	nematoda_odb10	0	0	0	0	100	3131	1	124529	124529	Rhabditida	Poikilolaimus	Poikilolaimus oxycercus
P3_210	b1	Nematoda	Nematoda	Cuticularia oxycerca		nem_SMG_180918_31	142.45	150	150	50	150	2386192	339906071	77	2613	51727	45.9	642	544	30	53	bag2	89.07	nematoda_odb10	0	0	0	0	100	3131	1	3550038	3550038	Rhabditida	Poikilolaimus	Poikilolaimus oxycercus
P3_210	b1	Nematoda	Nematoda	Cuticularia oxycerca		nem_SMG_180918_31	142.45	150	150	50	150	2386192	339906071	574	3924	376400	55.81	600	539	226	392	bag3	89.07	nematoda_odb10	0.1	0.1	0	0.1	99.8	3131	1	12848726	12848726	Rhabditida	Poikilolaimus	Poikilolaimus oxycercus
P3_212	b1	Nematoda	Nematoda	Oscheius dolichura	473156	nem_SMG_180918_26	140.76	150	150	50	150	2030	285742										1.11													
P3_81	b1	Arthropoda	Collembola	Folsomia candida	158441	col_ECT_180815_3	126.97	150	150	50	150	6765181	858944454	51226	20479	47295486	39.84	945	691	16388	31107	bag1	0.29	arthropoda_odb10	4.6	4.6	0	12.2	83.2	1013	4	465081208	116270302	Entomobryomorpha	Folsomia	Folsomia candida
P3_81	b1	Arthropoda	Collembola	Folsomia candida	158441	col_ECT_180815_3	126.97	150	150	50	150	6765181	858944454	94184	20479	80799012	38.87	861	653	31598	58704	bag2	0.29	arthropoda_odb10	4.7	4.7	0	12.2	83.1	1013	2	751085415	375542707.5	Entomobryomorpha	Folsomia	Folsomia candida
P3_81	b1	Arthropoda	Collembola	Folsomia candida	158441	col_ECT_180815_3	126.97	150	150	50	150	6765181	858944454	95176	20479	82125137	38.8	867	655	31742	59167	bag3	0.29	arthropoda_odb10	4.7	4.7	0	12.4	82.9	1013	2	762870352	381435176	Entomobryomorpha	Folsomia	Folsomia candida
P3_91	b1	Nematoda	Nematoda	Panagrolaimus detritophagus	310956	nem_SMG_180821_6	140.4	150	150	50	150	20064	2817017										96.09													
P3_95	b1	Arthropoda	Acari	Acrotritia duplicata	1979925	ori_SMG_180821_1	127.56	150	150	50	150	5332269	680197127	2144	26630	2767402	39.87	1564	800	396	1035	bag1	1.73	arachnida_odb10	2.6	2.5	0.1	2.1	95.3	2934	2	117958671	58979335.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P3_95	b1	Arthropoda	Acari	Acrotritia duplicata	1979925	ori_SMG_180821_1	127.56	150	150	50	150	5332269	680197127	16975	26630	15261976	35.05	879	634	4950	10138	bag2	1.73	arachnida_odb10	3	2.9	0.1	2.7	94.3	2934	2	528653406	264326703	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
